Log 6	xAccel (LSB)	yAccel (LSB)	zAccel (LSB)	Magnitude	Log 7	xAccel (LSB)	yAccel (LSB)	zAccel (LSB)	Magnitude	Log 8	xAccel (LSB)	yAccel (LSB)	zAccel (LSB)	Magnitude	Log 9	xAccel (LSB)	yAccel (LSB)	zAccel (LSB)	Magnitude	Log 10	xAccel (LSB)	yAccel (LSB)	zAccel (LSB)	Magnitude	Log 11	xAccel (LSB)	yAccel (LSB)	zAccel (LSB)	Magnitude
	-92	-24	14740	14740.30665		-28	28	14760	14760.05312		32	92	14748	14748.32167		24	56	14708	14708.12619		-36	-84	14832	14832.28155		-40	-88	14632	14632.3193
	-36	8	14748	14748.04611		-68	-12	14660	14660.16262		-24	-56	14772	14772.12564		-12	32	14644	14644.03988		44	-56	14820	14820.17112		-24	-20	14688	14688.03322
	20	-48	14644	14644.09232		76	-108	14876	14876.58617		0	0	14608	14608		-12	4	14764	14764.00542		16	60	14640	14640.13169		-24	-12	14720	14720.02446
	32	84	14676	14676.27528		64	-20	14556	14556.15444		-60	-64	14692	14692.26191		52	12	14648	14648.09721		64	48	14784	14784.21645		40	32	14632	14632.08967
	-112	4	14740	14740.42605		24	8	14776	14776.02166		-12	76	14708	14708.20125		-52	44	14732	14732.15748		28	8	14844	14844.02856		92	-60	14624	14624.41247
	88	-92	14796	14796.54771		-12	4	14704	14704.00544		-16	12	14736	14736.01357		24	0	14780	14780.01949		-12	24	14816	14816.0243		-72	36	14648	14648.22119
	44	-64	14692	14692.20528		-24	-4	14840	14840.01995		36	-12	14672	14672.04907		48	80	14780	14780.29445		-4	-32	14676	14676.03543		-76	4	14828	14828.1953
	84	-52	14644	14644.33324		36	-20	14736	14736.05755		4	-48	14564	14564.07965		-12	16	14768	14768.01354		-4	16	14688	14688.00926		-16	-20	14764	14764.02222
	76	0	14752	14752.19577		-8	-48	14800	14800.08		36	20	14672	14672.0578		72	-12	14736	14736.18078		-44	44	14784	14784.13095		-12	-48	14668	14668.08345
	28	32	14856	14856.06085		44	8	14704	14704.06801		-20	8	14748	14748.01573		-8	-36	14712	14712.04622		4	112	14656	14656.42849		-36	-80	14588	14588.26378
	-132	-36	14704	14704.63655		20	-20	14756	14756.02711		-36	-32	14524	14524.07987		-24	20	14696	14696.03321		-48	-56	14676	14676.18534		-64	-28	14720	14720.16576
	-72	40	14716	14716.2305		8	16	14576	14576.01098		-68	28	14720	14720.18369		56	-52	14904	14904.19592		-88	-16	14780	14780.27063		-24	64	14876	14876.15703
	12	-36	14648	14648.04915		24	16	14676	14676.02835		-12	8	14776	14776.00704		-8	-20	14760	14760.01572		-20	48	14788	14788.09143		0	104	14816	14816.36501
	28	64	14820	14820.16464		-52	8	14748	14748.09384		-88	20	14836	14836.27446		48	-84	14628	14628.31993		-12	20	14728	14728.01847		52	8	14696	14696.09417
	196	88	14692	14693.57084		28	20	14632	14632.04046		-64	-52	14632	14632.23237		48	60	14632	14632.20175		32	64	14692	14692.17424		28	28	14772	14772.05307
	4	-44	14716	14716.06632		64	0	14700	14700.13932		24	-104	14876	14876.38289		52	88	14788	14788.35326		-92	48	14724	14724.36566		92	36	14696	14696.33206
	36	-56	14748	14748.15026		36	-64	14748	14748.1828		56	-76	14808	14808.30092		-48	96	14932	14932.38574		24	0	14704	14704.01959		52	-52	14660	14660.18445
	-124	-48	14916	14916.59264		-88	-44	14740	14740.32835		-20	-4	14732	14732.01412		-16	44	14664	14664.07474		-12	100	14632	14632.34663		-16	104	14788	14788.37435
	72	24	14724	14724.1956		16	24	14712	14712.02828		-84	-48	14676	14676.31888		-24	-36	14852	14852.06302		92	64	14648	14648.42872		-64	-32	14760	14760.17344
	156	32	14752	14752.85952		-80	24	14712	14712.23708		20	8	14712	14712.01577		-36	36	14780	14780.08769		-32	-68	14612	14612.19326		12	-28	14768	14768.03142
	-56	36	14688	14688.15087		24	76	14788	14788.21477		-32	44	14792	14792.10005		64	-24	14752	14752.15835		4	36	14776	14776.0444		8	-28	14728	14728.02879
	0	0	14788	14788		-56	56	14820	14820.2116		-4	-8	14776	14776.00271		-80	36	14776	14776.26042		-84	-12	14656	14656.24563		0	-12	14776	14776.00487
	-52	108	14660	14660.49003		-8	36	14552	14552.04673		-40	12	14688	14688.05937		-108	20	14684	14684.41078		-20	-68	14564	14564.17248		-80	-56	14716	14716.324
	48	0	14692	14692.07841		-68	-12	14704	14704.16213		-8	-80	14792	14792.21849		44	-4	14784	14784.06602		32	-24	14720	14720.05435		-56	-28	14856	14856.13193
	-12	4	14724	14724.00543		20	92	14704	14704.30141		-44	52	14856	14856.15617		60	-32	14812	14812.15609		32	-4	14644	14644.03551		32	8	14772	14772.03683
	-104	-28	14644	14644.39606		24	-4	14788	14788.02002		-112	44	14696	14696.49264		-92	-8	14672	14672.29062		-24	8	14740	14740.02171		-4	52	14780	14780.09202
	36	36	14664	14664.08838		72	36	14832	14832.21844		-16	60	14644	14644.13166		56	48	14596	14596.18635		-60	-12	14712	14712.12724		60	-8	14704	14704.12459
	32	32	14688	14688.06972		-56	-32	14600	14600.14247		12	-20	14760	14760.01843		40	-64	14588	14588.19523		44	72	14832	14832.24002		48	56	14776	14776.18408
	72	-68	14676	14676.33415		72	64	14752	14752.31453		-88	8	14752	14752.26464		52	-40	14648	14648.14691		-20	-100	14872	14872.34965		28	4	14724	14724.02717
	40	0	14836	14836.05392		52	4	14624	14624.093		-36	64	14704	14704.18335		-104	-60	14748	14748.48874		40	36	14740	14740.09824		16	12	14832	14832.01348
