Log 0	xRVel (LSB)	yRVel (LSB)	zRVel (LSB)	Log 1	xRVel (LSB)	yRVel (LSB)	zRVel (LSB)	Log 2	xRVel (LSB)	yRVel (LSB)	zRVel (LSB)	Log 3	xRVel (LSB)	yRVel (LSB)	zRVel (LSB)	Log 4	xRVel (LSB)	yRVel (LSB)	zRVel (LSB)	Log 5	xRVel (LSB)	yRVel (LSB)	zRVel (LSB)
	-88	-34	13						-96	-33	7		-92	-40	5		-90	-7	5		-93	-48	11
	-92	-27	0						-91	-35	4		-89	-31	2		-97	-54	7		-91	-35	7
	-90	-34	5						-90	-36	12		-97	-28	16		-91	-69	7		-91	-44	9
	-89	-34	7						-91	-34	14		-91	-39	-1		-88	-47	10		-98	-27	6
	-90	-33	8						-96	-40	7		-90	-39	8		-94	-23	-3		-97	-31	9
	-90	-37	8						-88	-27	1		-97	-31	7		-98	-18	5		-97	-22	12
	-87	-34	3						-94	-33	8		-89	-29	9		-98	-21	4		-99	-24	12
	-91	-30	6						-91	-39	12		-93	-27	4		-95	-48	5		-102	14	3
	-85	-38	7						-87	-38	7		-94	-28	7		-92	-57	6		-94	-23	12
	-89	-39	6						-89	-28	5		-91	-38	9		-95	-21	2		-85	-142	10
	-93	-38	-1						-90	-36	1		-88	-37	9		-91	-63	10		-109	44	1
	-90	-35	6						-90	-35	11		-94	-32	15		-96	-47	-1		-83	-74	10
	-89	-32	12						-88	-26	5		-89	-39	11		-98	-40	8		-100	-31	6
	-89	-34	3						-99	-33	2		-90	-33	10		-99	-32	5		-96	-36	8
	-87	-35	8						-94	-26	11		-98	-27	11		-97	15	6		-90	-19	4
	-92	-33	11						-92	-38	12		-95	-38	10		-93	-5	4		-84	-61	12
	-87	-31	12						-95	-36	3		-92	-38	6		-92	-32	5		-106	2	6
	-87	-30	8						-91	-38	11		-90	-37	7		-97	-64	13		-89	-21	5
	-93	-34	6						-88	-37	14		-91	-27	12		-92	-11	7		-93	-43	6
	-90	-32	9						-96	-36	10		-95	-31	6		-93	-18	5		-95	-57	8
	-87	-36	8						-87	-37	10		-94	-39	6		-97	-32	9		-94	-56	12
	-94	-33	7						-90	-34	9		-94	-31	2		-98	-30	2		-89	-44	8
